#,Name,Generation,Legendary
152,Chikorita,2,FALSE
153,Bayleef,2,FALSE
154,Meganium,2,FALSE
155,Cyndaquil,2,FALSE
156,Quilava,2,FALSE
157,Typhlosion,2,FALSE
158,Totodile,2,FALSE
159,Croconaw,2,FALSE
160,Feraligatr,2,FALSE
161,Sentret,2,FALSE
162,Furret,2,FALSE
163,Hoothoot,2,FALSE
164,Noctowl,2,FALSE
165,Ledyba,2,FALSE
166,Ledian,2,FALSE
167,Spinarak,2,FALSE
168,Ariados,2,FALSE
169,Crobat,2,FALSE
170,Chinchou,2,FALSE
171,Lanturn,2,FALSE
172,Pichu,2,FALSE
173,Cleffa,2,FALSE
174,Igglybuff,2,FALSE
175,Togepi,2,FALSE
176,Togetic,2,FALSE
177,Natu,2,FALSE
178,Xatu,2,FALSE
179,Mareep,2,FALSE
180,Flaaffy,2,FALSE
181,Ampharos,2,FALSE
181,AmpharosMega Ampharos,2,FALSE
182,Bellossom,2,FALSE
183,Marill,2,FALSE
184,Azumarill,2,FALSE
185,Sudowoodo,2,FALSE
186,Politoed,2,FALSE
187,Hoppip,2,FALSE
188,Skiploom,2,FALSE
189,Jumpluff,2,FALSE
190,Aipom,2,FALSE
191,Sunkern,2,FALSE
192,Sunflora,2,FALSE
193,Yanma,2,FALSE
194,Wooper,2,FALSE
195,Quagsire,2,FALSE
196,Espeon,2,FALSE
197,Umbreon,2,FALSE
198,Murkrow,2,FALSE
199,Slowking,2,FALSE
200,Misdreavus,2,FALSE
201,Unown,2,FALSE
202,Wobbuffet,2,FALSE
203,Girafarig,2,FALSE
204,Pineco,2,FALSE
205,Forretress,2,FALSE
206,Dunsparce,2,FALSE
207,Gligar,2,FALSE
208,Steelix,2,FALSE
208,SteelixMega Steelix,2,FALSE
209,Snubbull,2,FALSE
210,Granbull,2,FALSE
211,Qwilfish,2,FALSE
212,Scizor,2,FALSE
212,ScizorMega Scizor,2,FALSE
213,Shuckle,2,FALSE
214,Heracross,2,FALSE
214,HeracrossMega Heracross,2,FALSE
215,Sneasel,2,FALSE
216,Teddiursa,2,FALSE
217,Ursaring,2,FALSE
218,Slugma,2,FALSE
219,Magcargo,2,FALSE
220,Swinub,2,FALSE
221,Piloswine,2,FALSE
222,Corsola,2,FALSE
223,Remoraid,2,FALSE
224,Octillery,2,FALSE
225,Delibird,2,FALSE
226,Mantine,2,FALSE
227,Skarmory,2,FALSE
228,Houndour,2,FALSE
229,Houndoom,2,FALSE
229,HoundoomMega Houndoom,2,FALSE
230,Kingdra,2,FALSE
231,Phanpy,2,FALSE
232,Donphan,2,FALSE
233,Porygon2,2,FALSE
234,Stantler,2,FALSE
235,Smeargle,2,FALSE
236,Tyrogue,2,FALSE
237,Hitmontop,2,FALSE
238,Smoochum,2,FALSE
239,Elekid,2,FALSE
240,Magby,2,FALSE
241,Miltank,2,FALSE
242,Blissey,2,FALSE
243,Raikou,2,TRUE
244,Entei,2,TRUE
245,Suicune,2,TRUE
246,Larvitar,2,FALSE
247,Pupitar,2,FALSE
248,Tyranitar,2,FALSE
248,TyranitarMega Tyranitar,2,FALSE
249,Lugia,2,TRUE
250,Ho-oh,2,TRUE
251,Celebi,2,FALSE
252,Treecko,3,FALSE
253,Grovyle,3,FALSE
254,Sceptile,3,FALSE
254,SceptileMega Sceptile,3,FALSE
255,Torchic,3,FALSE
256,Combusken,3,FALSE
